pywebkitgtk 1.1.8-3
qt4 4.8.5-7
qtwebkit 2.3.3-1
randrproto 1.4.0-1
readline 6.2.004-2
recordproto 1.14.2-1
refind-efi 0.7.7-1
reiserfsprogs 3.6.24-1
renderproto 0.11.1-2
rlog 1.4-4
rpcbind 0.2.1-2
rsync 3.1.0-1
run-parts 4.4-1
s-nail 14.5.2-4
scrnsaverproto 1.2.2-1
sdparm 1.08-1
sed 4.2.2-3
shadow 4.1.5.1-7
shared-color-profiles 0.1.5-1
shared-mime-info 1.2-2
sip 4.15.4-1
slim 1.3.6-3
smbclient 4.1.4-1
sound-theme-freedesktop 0.8-1
sqlite 3.8.3.1-1
squashfs-tools 4.2-4
startup-notification 0.12-4
sudo 1.8.9.p5-1
sysfsutils 2.1.0-8
syslinux4 4.07-1
systemd 208-11
systemd-sysvcompat 208-11
talloc 2.0.8-2
tar 1.27.1-1
tcl 8.6.1-1
tcpdump 4.5.1-1
tdb 1.2.12-1
terminus-font 4.38-4
testdisk 6.14-1
tevent 0.9.19-1
texinfo 5.2-2
thunar 1.6.3-1
thunar-archive-plugin 0.3.1-2
thunar-volman 0.8.0-1
thus 0.8.9-1
tint2 0.11-6
tintwizard 0.3.4-2
ttf-aboriginal-sans 9.606-1
ttf-bitstream-vera 1.10-9
ttf-dejavu 2.34-1
ttf-inconsolata 20090215-4
ttf-indic-otf 0.2-6
ttf-khmer 5.0-3
ttf-liberation 2.00.1-3
ttf-lohit-fonts 2.5.3-1
ttf-myanmar3 20110120-1
ttf-thaana-fonts 1.0-1
ttf-tlwg 0.5.1-1
tumbler 0.1.29-1
turbulence 0.3.3-1
tzdata 2013i-1
udisks2 2.1.2-1
ufw 0.33-3
unrar 1:5.0.14-1
unzip 6.0-6
upower 0.9.23-2
uriparser 0.8.0-1
usb_modeswitch 2.1.0-1
usbmuxd 1.0.8-2
usbutils 007-1
util-linux 2.24.1-1
v86d 0.1.10-5
vi 1:050325-3
videoproto 2.3.2-1
vpnc 0.5.3.svn527-2
vte 0.28.2-3
vte-common 0.34.9-1
